category,item_name,details
TABLE,account_requests,"id uuid NOT NULL, name text NOT NULL, email text NOT NULL, reason text , status text NOT NULL, created_at timestamp with time zone NOT NULL"
TABLE,audit_log,"id bigint NOT NULL, table_name text NOT NULL, record_id text , operation text NOT NULL, user_id uuid , changed_at timestamp with time zone NOT NULL, old_data jsonb , new_data jsonb "
TABLE,batch_allocations,"id uuid NOT NULL, batch_id uuid NOT NULL, channel text NOT NULL, contract_request_id uuid , partner_id uuid , label text , percentage numeric NOT NULL, locked boolean NOT NULL, lock_reason text , locked_at timestamp with time zone , notes text , created_at timestamp with time zone NOT NULL, square_deposit_invoice_id text , square_deposit_order_id text , invoice_generated_at timestamp with time zone , invoice_sent_at timestamp with time zone , invoice_paid_at timestamp with time zone , conversion_target_recipe_id uuid "
TABLE,batch_brew_activity_log,"id uuid NOT NULL, batch_id uuid NOT NULL, sort_order integer NOT NULL, activity text NOT NULL, time_label text , temp numeric , amount numeric , created_at timestamp with time zone NOT NULL, vsp numeric , temp_unit text NOT NULL, amount_unit text , template_id uuid "
TABLE,batch_ingredient_commitments,"id uuid NOT NULL, batch_id uuid NOT NULL, ingredient_id uuid NOT NULL, committed_qty numeric NOT NULL, committed_at timestamp with time zone NOT NULL, released_at timestamp with time zone "
TABLE,batch_schedule_entries,"id uuid NOT NULL, batch_id uuid NOT NULL, equipment_id uuid , stage text NOT NULL, planned_start timestamp with time zone NOT NULL, planned_end timestamp with time zone NOT NULL, actual_start timestamp with time zone , actual_end timestamp with time zone , notes text , created_at timestamp with time zone , updated_at timestamp with time zone , cancelled_at timestamp with time zone , cancellation_reason text , step_order integer , completed_at timestamp with time zone , downstream_entry_id uuid , volume_bbl numeric , planned_branch text "
TABLE,batch_status_history,"id uuid NOT NULL, batch_id uuid NOT NULL, status text NOT NULL, note text , changed_at timestamp with time zone NOT NULL, changed_by uuid "
TABLE,batch_tank_assignments,"id uuid NOT NULL, batch_id uuid NOT NULL, tank_id uuid NOT NULL, assigned_at timestamp with time zone NOT NULL, released_at timestamp with time zone , notes text "
TABLE,batch_transfers,"id uuid NOT NULL, batch_id uuid NOT NULL, from_tank_id uuid , to_tank_id uuid , volume_bbl numeric NOT NULL, shrinkage_bbl numeric NOT NULL, transfer_type text NOT NULL, notes text , kegging_detail jsonb , canning_detail jsonb , transferred_at timestamp with time zone NOT NULL, export_detail jsonb , to_batch_id uuid , created_by uuid "
TABLE,brew_batches,"id uuid NOT NULL, beer_name text NOT NULL, batch_number text , planned_brew_date date NOT NULL, volume_bbl numeric NOT NULL, status text NOT NULL, notes text , created_at timestamp with time zone NOT NULL, turns integer NOT NULL, recipe_id uuid , expected_delivery_date date , ibu numeric , color_srm numeric , original_gravity numeric , final_gravity numeric , dissolved_oxygen_ppb numeric , turns_completed integer NOT NULL, square_invoice_id text , converted_from_batch_id uuid , converted_volume_bbl numeric "
